"Priority","Event Name","Stage","Trigger / When to Fire","Primary Properties","Source Components"
"P1","booking_flow_loaded","Lifecycle","Fire once after event data, plans, UI content, config, and add-ons are loaded successfully and the booking flow is ready.","event_id; event_name; event_slug; entry_path; query_id; booking_id_present; view_param; plans_count; addons_count","App.tsx; src/services/dataService.ts"
"P1","booking_flow_load_failed","Lifecycle","Fire when the initial event data load fails and the error state is shown.","entry_path; query_id; event_slug; error_message","App.tsx; src/services/dataService.ts"
"P2","booking_flow_resumed","Lifecycle","Fire when the page is opened with an existing booking id and booking data is hydrated, including direct dashboard entry.","booking_id; entry_path; view_param; resumed_to_step; ticket_available; invoice_available; certificate_available","App.tsx"
"P3","landing_page_viewed","Top Funnel","Fire when the landing page screen is rendered.","event_id; event_name; event_slug; schedule_days_count; mentors_count; insights_count","components/LandingPage.tsx"
"P3","landing_cta_clicked","Top Funnel","Fire when the hero CTA or sidebar CTA on the landing page is clicked to continue into the booking flow.","event_id; event_name; cta_location; next_step","components/LandingPage.tsx"
"P3","landing_schedule_day_selected","Top Funnel","Fire when the user changes the active day in the landing page schedule tabs.","event_id; event_name; selected_day_index; selected_day_label","components/LandingPage.tsx"
"P1","plan_selection_viewed","Plan Discovery","Fire when the plan selection screen is shown.","event_id; event_name; plans_count; visible_plan_ids; visible_plan_names","App.tsx; components/PlanSelection.tsx"
"P1","plan_selected","Plan Discovery","Fire when a user clicks the plan CTA from the plan selection cards.","event_id; event_name; plan_id; plan_name; plan_subtitle; price_type; offer_price; final_price; available_rooms; sold_out","App.tsx; components/PlanSelection.tsx"
"P2","booking_step_back_clicked","Navigation","Fire whenever a back button moves the user to a previous booking step.","step_from; step_to; current_step; selected_plan_id; selected_plan_name","App.tsx; components/PlanDetail.tsx; components/GuestForm.tsx; components/BookingSummary.tsx"
"P1","plan_detail_viewed","Plan Discovery","Fire when the selected plan detail screen is rendered.","event_id; event_name; plan_id; plan_name; price_type; offer_price; final_price; gst_type; gst_rate; amenities_count; image_count","components/PlanDetail.tsx"
"P1","plan_detail_book_now_clicked","Plan Discovery","Fire when the Book Now CTA on the plan detail screen is clicked.","event_id; event_name; plan_id; plan_name; offer_price; final_price; next_step","components/PlanDetail.tsx"
"P2","plan_detail_support_call_clicked","Support","Fire when the support phone link inside plan detail is clicked.","event_id; event_name; plan_id; plan_name; support_phone; placement","components/PlanDetail.tsx"
"P1","guest_form_viewed","Guest Details","Fire when the guest form step is rendered.","event_id; event_name; plan_id; plan_name; guests_count; addons_available_count; extra_stay_available","App.tsx; components/GuestForm.tsx"
"P2","guest_added","Guest Details","Fire when Add Guest is clicked and a new guest card is added.","event_id; event_name; plan_id; guests_count_after","components/GuestForm.tsx"
"P2","guest_removed","Guest Details","Fire when a guest is removed from the guest form.","event_id; event_name; removed_guest_id; guests_count_after","components/GuestForm.tsx"
"P2","addon_info_opened","Guest Details","Fire when the info modal for an add-on or extra stay is opened.","event_id; event_name; addon_id; addon_title; addon_type; guest_id","components/GuestForm.tsx"
"P2","guest_addon_toggled","Guest Details","Fire when a guest-level add-on checkbox is selected or deselected.","event_id; event_name; guest_id; guest_age; addon_id; addon_title; addon_type; addon_price; action","components/GuestForm.tsx"
"P2","extra_stay_toggled","Guest Details","Fire when extra stay is enabled or disabled for a guest.","event_id; event_name; guest_id; action; stay_plan_id; stay_plan_name; start_date; nights; price_per_night","components/GuestForm.tsx"
"P2","extra_stay_plan_selected","Guest Details","Fire when the extra stay room or stay plan is changed.","event_id; event_name; guest_id; stay_plan_id; stay_plan_name; price_per_night","components/GuestForm.tsx"
"P2","extra_stay_duration_changed","Guest Details","Fire when the number of extra stay nights changes.","event_id; event_name; guest_id; stay_plan_id; nights; total_stay_amount","components/GuestForm.tsx"
"P2","kids_plan_modal_viewed","Guest Details","Fire when the kids plan confirmation modal is shown for guests aged 4 to 17.","event_id; event_name; eligible_kids_count; eligible_guest_ids","components/GuestForm.tsx"
"P2","kids_plan_choice_updated","Guest Details","Fire when Yes or No is chosen for a kid guest in the kids plan modal.","event_id; event_name; guest_id; guest_age; is_kids_plan_opted","components/GuestForm.tsx"
"P1","guest_form_validation_failed","Guest Details","Fire when Continue is clicked on the guest form but validation fails for guest fields or extra stay requirements.","event_id; event_name; guests_count; invalid_guest_count; invalid_fields; extra_stay_error_present","components/GuestForm.tsx"
"P1","guest_form_submitted","Guest Details","Fire when the guest form passes validation and proceeds to booking summary.","event_id; event_name; plan_id; plan_name; guests_count; kids_plan_count; addon_selections_count; extra_stay_guest_count","components/GuestForm.tsx"
"P1","booking_summary_viewed","Checkout","Fire when the booking summary and checkout step is rendered.","event_id; event_name; plan_id; plan_name; guests_count; gross_amount; discount_amount; total_amount; addons_amount; stay_amount","App.tsx; components/BookingSummary.tsx"
